cuadro;V1;V2;V3;V4;V5;;;;;;;
2;11990;Cultivos temporales n.c.p.;0,00%;0,00%;0,00%;;;;;;;
2;12110;Cultivo de vid para vinificar;0,00%;0,00%;0,00%;;;;;;;
2;12121;Cultivo de uva de mesa;0,00%;0,00%;0,00%;;;;;;;
2;12200;Cultivo de frutas cítricas;0,00%;0,00%;0,00%;;;;;;;
2;12311;Cultivo de manzana y pera;0,00%;0,00%;0,00%;;;;;;;
2;12319;Cultivo de frutas de pepita n.c.p.;0,00%;0,00%;0,00%;;;;;;;
2;12320;Cultivo de frutas de carozo;0,00%;0,00%;0,00%;;;;;;;
2;12410;Cultivo de frutas tropicales y subtropicales;0,00%;0,00%;0,00%;;;;;;;
2;12420;Cultivo de frutas secas;0,00%;0,00%;0,00%;;;;;;;
2;12490;Cultivo de frutas n.c.p.;0,00%;0,00%;0,00%;;;;;;;
2;12510;Cultivo de caña de azúcar;0,00%;0,00%;0,00%;;;;;;;
2;12591;Cultivo de stevia rebaudiana;0,00%;0,00%;0,00%;;;;;;;
2;12599;Cultivo de plantas sacariferas n.c.p.;0,75%;0,75%;0,75%;;;;;;;
2;12601;Cultivo de jatropha;0,75%;0,75%;0,75%;;;;;;;
2;12609;Cultivo de frutos oleaginosos excepto jatropha;0,75%;0,75%;0,75%;;;;;;;
2;12701;Cultivo de yerba mate;0,00%;0,00%;0,00%;;;;;;;
2;12709;Cultivo de té y otras plantas cuyas hojas se utilizan para preparar infusiones;0,00%;0,00%;0,00%;;;;;;;
2;12800;Cultivo de especias y de plantas aromáticas y medicinales;0,75%;0,75%;0,75%;;;;;;;
2;12900;Cultivos perennes n.c.p.;0,00%;0,00%;0,00%;;;;;;;
2;13011;Producción de semillas híbridas de cereales y oleaginosas;0,75%;0,75%;0,75%;;;;;;;
2;13012;Producción de semillas varietales o autofecundadas de cereales, oleaginosas, y forrajeras;0,75%;0,75%;0,75%;;;;;;;
2;13013;Producción de semillas de hortalizas y legumbres, flores y plantas ornamentales y árboles frutales;0,75%;0,75%;0,75%;;;;;;;
2;13019;Producción de semillas de cultivos agrícolas n.c.p.;0,00%;0,00%;0,00%;;;;;;;
2;13020;Producción de otras formas de propagación de cultivos agrícolas;0,00%;0,00%;0,00%;;;;;;;
2;14113;Cría de ganado bovino, excepto la realizada en cabañas y para la producción de leche;0,00%;0,00%;0,00%;;;;;;;
2;14114;Invernada de ganado bovino excepto el engorde en corrales (Feed-Lot);0,00%;0,00%;0,00%;;;;;;;
2;14115;Engorde en corrales (Feed-Lot);0.75%;0.75%;0.75%;;;;;;;
2;14121;Cría de ganado bovino realizada en cabañas;0,00%;0,00%;0,00%;;;;;;;
2;14211;Cría de ganado equino, excepto la realizada en haras;0,00%;0,00%;0,00%;;;;;;;
2;14221;Cría de ganado equino realizada en haras;0,00%;0,00%;0,00%;;;;;;;
2;14300;Cría de camélidos;0,00%;0,00%;0,00%;;;;;;;
2;14410;Cría de ganado ovino -excepto en cabañas y para la producción de lana y leche-;0,00%;0,00%;0,00%;;;;;;;
2;14420;Cría de ganado ovino realizada en cabañas;0,00%;0,00%;0,00%;;;;;;;
2;14430;Cría de ganado caprino -excepto la realizada en cabañas y para producción de pelos y de leche-;0,00%;0,00%;0,00%;;;;;;;
2;14440;Cría de ganado caprino realizada en cabañas;0,00%;0,00%;0,00%;;;;;;;
2;14510;Cría de ganado porcino, excepto la realizada en cabañas;0,00%;0,00%;0,00%;;;;;;;
2;14520;Cría de ganado porcino realizado en cabañas;0,00%;0,00%;0,00%;;;;;;;
2;14610;Producción de leche bovina;0,00%;0,00%;0,00%;;;;;;;
2;14620;Producción de leche de oveja y de cabra;0,00%;0,00%;0,00%;;;;;;;
2;14710;Producción de lana y pelo de oveja y cabra (cruda);0,00%;0,00%;0,00%;;;;;;;
2;14720;Producción de pelos de ganado n.c.p.;0,00%;0,00%;0,00%;;;;;;;
2;14810;Cría de aves de corral, excepto para la producción de huevos;0,00%;0,00%;0,00%;;;;;;;
2;14820;Producción de huevos;0,00%;0,00%;0,00%;;;;;;;
2;14910;Apicultura;0,00%;0,00%;0,00%;;;;;;;
2;14920;Cunicultura;0,00%;0,00%;0,00%;;;;;;;
2;14930;Cría de animales pelíferos, pilíferos y plumíferos, excepto de las especies ganaderas;0,00%;0,00%;0,00%;;;;;;;
2;14990;Cría de animales y obtención de productos de origen animal, n.c.p.;0,00%;0,00%;0,00%;;;;;;;
2;16111;Servicios de labranza, siembra, transplante y cuidados culturales;3,00%;3,90%;4,80%;;;;;;;
2;16112;Servicios de pulverización, desinfección y fumigación terrestre;3,00%;3,90%;4,80%;;;;;;;
2;16113;Servicios de pulverización, desinfección y fumigación aérea;3,00%;3,90%;4,80%;;;;;;;
2;16119;Servicios de maquinaria agrícola n.c.p., excepto los de cosecha mecánica;3,00%;3,90%;4,80%;;;;;;;
2;16120;Servicios de cosecha mecánica;3,00%;3,90%;4,80%;;;;;;;
2;16130;Servicios de contratistas de mano de obra agrícola;3,00%;3,90%;4,80%;;;;;;;
2;16141;Servicios de frío y refrigerado;3,00%;3,90%;4,80%;;;;;;;
2;16149;Otros servicios de post cosecha;3,00%;3,90%;4,80%;;;;;;;
2;16150;Servicios de procesamiento de semillas para su siembra;3,00%;3,90%;4,80%;;;;;;;
2;16190;Servicios de apoyo agrícolas n.c.p;3,00%;3,90%;4,80%;;;;;;;
2;16210;Inseminación artificial y servicios n.c.p. para mejorar la reproducción de los animales y el rendimiento de sus productos;3,00%;3,90%;4,80%;;;;;;;
2;16220;Servicios de contratistas de mano de obra pecuaria;3,00%;3,90%;4,80%;;;;;;;
2;16230;Servicios de esquila de animales;3,00%;3,90%;4,80%;;;;;;;
2;16291;Servicios para el control de plagas, baños parasiticidas, etc.;3,00%;3,90%;4,80%;;;;;;;
2;16292;Albergue y cuidado de animales de terceros;3,00%;3,90%;4,80%;;;;;;;
2;16299;Servicios de apoyo pecuarios n.c.p.;3,00%;3,90%;4,80%;;;;;;;
2;17010;Caza y repoblación de animales de caza;0,00%;0,00%;0,00%;;;;;;;
2;17020;Servicios de apoyo para la caza;3,00%;3,90%;4,80%;;;;;;;
2;SILVICULTURA, EXTRACCIÓN DE PRODUCTOS FORESTALES Y SERVICIOS DE APOYO;Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;21010;Plantación de bosques;0,00%;0,00%;0,00%;;;;;;;
2;21020;Repoblación y conservación de bosques nativos y zonas forestadas;0,00%;0,00%;0,00%;;;;;;;
2;21030;Explotación de viveros forestales;0,00%;0,00%;0,00%;;;;;;;
2;22010;Extracción de productos forestales de bosques cultivados;0,00%;0,00%;0,00%;;;;;;;
2;22020;Extracción de productos forestales de bosques nativos;0,00%;0,00%;0,00%;;;;;;;
2;24010;Servicios forestales para la extracción de madera;3,00%;3,90%;4,80%;;;;;;;
2;24020;Servicios forestales excepto los servicios para la extracción de madera;3,00%;3,90%;4,80%;;;;;;;
2;PESCA, ACUICULTURA Y SERVICIOS DE APOYO;Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;31110;"Pesca de organismos marinos; excepto cuando es realizada en buques procesadores";0,00%;0,00%;0,00%;;;;;;;
2;31120;Pesca y elaboración de productos marinos realizada a bordo de buques procesadores;0,00%;0,00%;0,00%;;;;;;;
2;31130;Recolección de organismos marinos excepto peces, crustáceos y moluscos;0,00%;0,00%;0,00%;;;;;;;
2;31200;Pesca continental: fluvial y lacustre;0,00%;0,00%;0,00%;;;;;;;
2;31300;Servicios de apoyo para la pesca;3,00%;3,90%;4,80%;;;;;;;
2;32000;Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos (acuicultura);0,00%;0,00%;0,00%;;;;;;;
2;EXTRACCIÓN DE CARBÓN Y LIGNITO;Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;51000;Extracción y aglomeración de carbón;0,75%;0,75%;0,75%;;;;;;;
2;52000;Extracción y aglomeración de lignito;0,75%;0,75%;0,75%;;;;;;;
2;EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL;Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;61000;Extracción de petróleo crudo;1,33%;1,73%;2,13%;;;;;;;
2;62000;Extracción de gas natural;1,33%;1,73%;2,13%;;;;;;;
2;EXTRACCIÓN DE MINERALES METALÍFEROS;Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;71000;Extracción de minerales de hierro;0,75%;0,75%;0,75%;;;;;;;
2;72100;Extracción de minerales y concentrados de uranio y torio;0,75%;0,75%;0,75%;;;;;;;
2;72910;Extracción de metales preciosos;0,75%;0,75%;0,75%;;;;;;;
2;72990;Extracción de minerales metalíferos no ferrosos n.c.p., excepto minerales de uranio y torio;0,75%;0,75%;0,75%;;;;;;;
2;EXPLOTACIÓN DE MINAS Y CANTERAS N.C.P.;Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;81100;Extracción de rocas ornamentales;0,75%;0,75%;0,75%;;;;;;;
2;81200;Extracción de piedra caliza y yeso;0,75%;0,75%;0,75%;;;;;;;
2;81300;Extracción de arenas, canto rodado y triturados pétreos;0,75%;0,75%;0,75%;;;;;;;
2;81400;Extracción de arcilla y caolín;0,75%;0,75%;0,75%;;;;;;;
2;89110;Extracción de minerales para la fabricación de abonos excepto turba;0,75%;0,75%;0,75%;;;;;;;
2;89120;Extracción de minerales para la fabricación de productos químicos;0,75%;0,75%;0,75%;;;;;;;
2;89200;Extracción y aglomeración de turba;0,75%;0,75%;0,75%;;;;;;;
2;89300;Extracción de sal;0,75%;0,75%;0,75%;;;;;;;
2;89900;Explotación de minas y canteras n.c.p.;0,75%;0,75%;0,75%;;;;;;;
2;SERVICIOS DE APOYO PARA LA MINERA;Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;91001;Actividades de servicios y construcción previas a la perforación de pozos;3,00%;3,90%;4,80%;;;;;;;
2;91002;Actividades de servicios y construcción durante la perforación de pozos;2,50%;2,50%;2,50%;;;;;;;
2;91003;Actividades de servicios y construcción posteriores a la perforación de pozos;3,00%;3,90%;4,80%;;;;;;;
2;91009;Actividades de servicios relacionadas con la extracción de petróleo y gas, no clasificados en otra parte;3,00%;3,90%;4,80%;;;;;;;
2;99000;Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural;3,00%;3,90%;4,80%;;;;;;;
2;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;101011;Matanza de ganado bovino;1,50%;1,50%;1,50%;;;;;;;
2;101012;Procesamiento de carne de ganado bovino;1,50%;1,50%;1,50%;;;;;;;
2;101013;Saladero y peladero de cueros de ganado bovino;1,50%;1,50%;1,50%;;;;;;;
2;101020;Producción y procesamiento de carne de aves;1,50%;1,50%;1,50%;;;;;;;
2;101030;Elaboración de fiambres y embutidos;1,50%;1,50%;1,50%;;;;;;;
2;101040;Matanza de ganado excepto el bovino y procesamiento de su carne;1,50%;1,50%;1,50%;;;;;;;
2;101091;Fabricación de aceites y grasas de origen animal;1,50%;1,50%;1,50%;;;;;;;
2;101099;"Matanza de animales n.c.p. y procesamiento de su carne; elaboración de subproductos cárnicos n.c.p.";1,50%;1,50%;1,50%;;;;;;;
2;102001;Elaboración de pescados de mar, crustáceos y productos marinos;1,50%;1,50%;1,50%;;;;;;;
2;102002;Elaboración de pescados de ríos y lagunas y otros productos fluviales y lacustres;1,50%;1,50%;1,50%;;;;;;;
2;102003;Fabricación de aceites, grasas, harinas y productos a base de pescados;1,50%;1,50%;1,50%;;;;;;;
2;103011;Preparación de conservas de frutas, hortalizas y legumbres;1,50%;1,50%;1,50%;;;;;;;
2;103012;Elaboración y envasado de dulces, mermeladas y jaleas;1,50%;1,50%;1,50%;;;;;;;
2;103020;Elaboración de jugos naturales y sus concentrados, de frutas, hortalizas y legumbres;1,50%;1,50%;1,50%;;;;;;;
2;103030;Elaboración de frutas, hortalizas y legumbres congeladas;1,50%;1,50%;1,50%;;;;;;;
2;103091;"Elaboración de hortalizas y legumbres deshidratadas o desecadas; preparación n.c.p. de hortalizas y legumbres";1,50%;1,50%;1,50%;;;;;;;
2;103099;"Elaboración de frutas deshidratadas o desecadas; preparación n.c.p. de frutas";1,50%;1,50%;1,50%;;;;;;;
2;104011;Elaboración de aceites y grasas vegetales sin refinar;1,50%;1,50%;1,50%;;;;;;;
2;104012;Elaboración de aceite de oliva;1,50%;1,50%;1,50%;;;;;;;
2;104013;Elaboración de aceites y grasas vegetales refinados;1,50%;1,50%;1,50%;;;;;;;
2;104020;Elaboración de margarinas y grasas vegetales comestibles similares;1,50%;1,50%;1,50%;;;;;;;
2;105010;Elaboración de leches y productos lácteos deshidratados;1,50%;1,50%;1,50%;;;;;;;
2;105020;Elaboración de quesos;1,50%;1,50%;1,50%;;;;;;;
2;105030;Elaboración industrial de helados;1,50%;1,50%;1,50%;;;;;;;
2;105090;Elaboración de productos lácteos n.c.p.;1,50%;1,50%;1,50%;;;;;;;
2;106110;Molienda de trigo;1,50%;1,50%;1,50%;;;;;;;
2;106120;Preparación de arroz;1,50%;1,50%;1,50%;;;;;;;
2;106131;Elaboración de alimentos a base de cereales;1,50%;1,50%;1,50%;;;;;;;
2;106139;Preparación y molienda de legumbres y cereales n.c.p., excepto trigo y arroz y molienda húmeda de maíz;1,50%;1,50%;1,50%;;;;;;;
2;106200;"Elaboración de almidones y productos derivados del almidón; molienda húmeda de maíz";1,50%;1,50%;1,50%;;;;;;;
2;107110;Elaboración de galletitas y bizcochos;1,50%;1,50%;1,50%;;;;;;;
2;107121;Elaboración industrial de productos de panadería, excepto galletitas y bizcochos;1,50%;1,50%;1,50%;;;;;;;
2;107129;Elaboración de productos de panadería n.c.p.;1,50%;1,50%;1,50%;;;;;;;
2;107200;Elaboración de azúcar;1,50%;1,50%;1,50%;;;;;;;
2;107301;Elaboración de cacao y chocolate;1,50%;1,50%;1,50%;;;;;;;
2;107309;Elaboración de productos de confitería n.c.p.;1,50%;1,50%;1,50%;;;;;;;
2;107410;Elaboración de pastas alimentarias frescas;1,50%;1,50%;1,50%;;;;;;;
2;107420;Elaboración de pastas alimentarias secas;1,50%;1,50%;1,50%;;;;;;;
2;107500;Elaboración de comidas preparadas para reventa;1,50%;1,50%;1,50%;;;;;;;
2;107911;Tostado, torrado y molienda de café;1,50%;1,50%;1,50%;;;;;;;
2;107912;Elaboración y molienda de hierbas aromáticas y especias;1,50%;1,50%;1,50%;;;;;;;
2;107920;Preparación de hojas de té;1,50%;1,50%;1,50%;;;;;;;
2;107931;Molienda de yerba mate;1,50%;1,50%;1,50%;;;;;;;
2;107939;Elaboración de yerba mate;1,50%;1,50%;1,50%;;;;;;;
2;107991;Elaboración de extractos, jarabes y concentrados;1,50%;1,50%;1,50%;;;;;;;
2;107992;Elaboración de vinagres;1,50%;1,50%;1,50%;;;;;;;
2;107999;Elaboración de productos alimenticios n.c.p.;1,50%;1,50%;1,50%;;;;;;;
2;108000;Elaboración de alimentos preparados para animales;1,50%;1,50%;1,50%;;;;;;;
2;109000;Servicios industriales para la elaboración de alimentos y bebidas;3,00%;3,90%;4,80%;;;;;;;
2;ELABORACIÓN DE BEBIDAS;Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;110100;Destilación, rectificación y mezcla de bebidas espiritosas;1,50%;1,50%;1,50%;;;;;;;
2;110211;Elaboración de mosto;1,50%;1,50%;1,50%;;;;;;;
2;110212;Elaboración de vinos;1,50%;1,50%;1,50%;;;;;;;
2;110290;Elaboración de sidra y otras bebidas alcohólicas fermentadas;1,50%;1,50%;1,50%;;;;;;;
2;110300;Elaboración de cerveza, bebidas malteadas y malta;1,50%;1,50%;1,50%;;;;;;;
2;110411;Embotellado de aguas naturales y minerales;1,50%;1,50%;1,50%;;;;;;;
2;110412;Fabricación de sodas;1,50%;1,50%;1,50%;;;;;;;
2;110420;Elaboración de bebidas gaseosas, excepto sodas y aguas;1,50%;1,50%;1,50%;;;;;;;
2;110491;Elaboración de hielo;1,50%;1,50%;1,50%;;;;;;;
2;110492;Elaboración de bebidas no alcohólicas n.c.p.;1,50%;1,50%;1,50%;;;;;;;
2;ELABORACIÓN DE PRODUCTOS DE TABACO;Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;120010;Preparación de hojas de tabaco;1,50%;1,50%;1,50%;;;;;;;
2;120091;Elaboración de cigarrillos;1,50%;1,50%;1,50%;;;;;;;
2;120099;Elaboración de productos de tabaco n.c.p.;1,50%;1,50%;1,50%;;;;;;;
2;FABRICACIÓN DE PRODUCTOS TEXTILES;Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;131110;"Preparación de fibras textiles vegetales; desmotado de algodón";1,50%;1,50%;1,50%;;;;;;;
2;131120;Preparación de fibras animales de uso textil;1,50%;1,50%;1,50%;;;;;;;
2;131131;Fabricación de hilados textiles de lana, pelos y sus mezclas;1,50%;1,50%;1,50%;;;;;;;
2;131132;Fabricación de hilados textiles de algodón y sus mezclas;1,50%;1,50%;1,50%;;;;;;;
2;131139;Fabricación de hilados textiles n.c.p., excepto de lana y de algodón;1,50%;1,50%;1,50%;;;;;;;
2;131201;Fabricación de tejidos (telas) planos de lana y sus mezclas, incluye hilanderías y tejeduras integradas;1,50%;1,50%;1,50%;;;;;;;
2;131202;Fabricación de tejidos (telas) planos de algodón y sus mezclas, incluye hilanderías y tejeduras integradas;1,50%;1,50%;1,50%;;;;;;;
2;131209;Fabricación de tejidos (telas) planos de fibras textiles n.c.p., incluye hilanderías y tejeduras integradas;1,50%;1,50%;1,50%;;;;;;;
2;131300;Acabado de productos textiles;1,50%;1,50%;1,50%;;;;;;;
2;139100;Fabricación de tejidos de punto;1,50%;1,50%;1,50%;;;;;;;
2;139201;Fabricación de frazadas, mantas, ponchos, colchas, cobertores, etc.;1,50%;1,50%;1,50%;;;;;;;
2;139202;Fabricación de ropa de cama y mantelería;1,50%;1,50%;1,50%;;;;;;;
2;139203;Fabricación de artículos de lona y sucedáneos de lona;1,50%;1,50%;1,50%;;;;;;;
2;139204;Fabricación de bolsas de materiales textiles para productos a granel;1,50%;1,50%;1,50%;;;;;;;
2;139209;Fabricación de artículos confeccionados de materiales textiles n.c.p., excepto prendas de vestir;1,50%;1,50%;1,50%;;;;;;;
2;139300;Fabricación de tapices y alfombras;1,50%;1,50%;1,50%;;;;;;;
2;139400;Fabricación de cuerdas, cordeles, bramantes y redes;1,50%;1,50%;1,50%;;;;;;;
2;139900;Fabricación de productos textiles n.c.p.;1,50%;1,50%;1,50%;;;;;;;
2;"CONFECCIÓN DE PRENDAS DE VESTIR; TERMINACIÓN Y TEÑIDO DE PELES";Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;141110;Confección de ropa interior, prendas para dormir y para la playa;1,50%;1,50%;1,50%;;;;;;;
2;141120;Confección de ropa de trabajo, uniformes y guardapolvos;1,50%;1,50%;1,50%;;;;;;;
2;141130;Confección de prendas de vestir para bebés y niños;1,50%;1,50%;1,50%;;;;;;;
2;141140;Confección de prendas deportivas;1,50%;1,50%;1,50%;;;;;;;
2;141191;Fabricación de accesorios de vestir excepto de cuero;1,50%;1,50%;1,50%;;;;;;;
2;141199;Confección de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto;1,50%;1,50%;1,50%;;;;;;;
2;141201;Fabricación de accesorios de vestir de cuero;1,50%;1,50%;1,50%;;;;;;;
2;141202;Confección de prendas de vestir de cuero;1,50%;1,50%;1,50%;;;;;;;
2;142000;"Terminación y teñido de pieles; fabricación de artículos de piel";1,50%;1,50%;1,50%;;;;;;;
2;143010;Fabricación de medias;1,50%;1,50%;1,50%;;;;;;;
2;143020;Fabricación de prendas de vestir y artículos similares de punto;1,50%;1,50%;1,50%;;;;;;;
2;149000;Servicios industriales para la industria confeccionista;3,00%;3,90%;4,80%;;;;;;;
2;"CURTIDO Y TERMINACIÓN DE CUEROS; FABRICACIÓN DE ARTÍCULOS DE MARROQUINERA, TALABARTERA Y CALZADO Y DE SUS PARTES";Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;151100;Curtido y terminación de cueros;1,50%;1,50%;1,50%;;;;;;;
2;151200;Fabricación de maletas, bolsos de mano y similares, artículos de talabartería y artículos de cuero n.c.p.;1,50%;1,50%;1,50%;;;;;;;
2;152011;Fabricación de calzado de cuero, excepto calzado deportivo y ortopédico;1,50%;1,50%;1,50%;;;;;;;
2;152021;Fabricación de calzado de materiales n.c.p., excepto calzado deportivo y ortopédico;1,50%;1,50%;1,50%;;;;;;;
2;152031;Fabricación de calzado deportivo;1,50%;1,50%;1,50%;;;;;;;
2;152040;Fabricación de partes de calzado;1,50%;1,50%;1,50%;;;;;;;
2;"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES";Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;161001;Aserrado y cepillado de madera nativa;1,50%;1,50%;1,50%;;;;;;;
2;161002;Aserrado y cepillado de madera implantada;1,50%;1,50%;1,50%;;;;;;;
2;162100;"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados; tableros laminados; tableros de partículas y tableros y paneles n.c.p.";1,50%;1,50%;1,50%;;;;;;;
2;162201;Fabricación de aberturas y estructuras de madera para la construcción;1,50%;1,50%;1,50%;;;;;;;
2;162202;Fabricación de viviendas prefabricadas de madera;2,50%;2,50%;2,50%;;;;;;;
2;162300;Fabricación de recipientes de madera;1,50%;1,50%;1,50%;;;;;;;
2;162901;Fabricación de ataúdes;1,50%;1,50%;1,50%;;;;;;;
2;162902;Fabricación de artículos de madera en tornerías;1,50%;1,50%;1,50%;;;;;;;
2;162903;Fabricación de productos de corcho;1,50%;1,50%;1,50%;;;;;;;
2;162909;"Fabricación de productos de madera n.c.p; fabricación de artículos de paja y materiales trenzables";1,50%;1,50%;1,50%;;;;;;;
2;FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL;Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;170101;Fabricación de pasta de madera;1,50%;1,50%;1,50%;;;;;;;
2;170102;Fabricación de papel y cartón excepto envases;1,50%;1,95%;2,40%;;;;;;;
2;170201;Fabricación de papel ondulado y envases de papel;1,50%;1,95%;2,40%;;;;;;;
2;170202;Fabricación de cartón ondulado y envases de cartón;1,50%;1,95%;2,40%;;;;;;;
2;170910;Fabricación de artículos de papel y cartón de uso doméstico e higiénico sanitario;1,50%;1,95%;2,40%;;;;;;;
2;170990;Fabricación de artículos de papel y cartón n.c.p.;1,50%;1,95%;2,40%;;;;;;;
2;IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES;Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;181101;Impresión de diarios y revistas;0,00%;0,00%;0,00%;;;;;;;
2;181109;Impresión n.c.p., excepto de diarios y revistas;1,50%;1,50%;1,50%;;;;;;;
2;181200;Servicios relacionados con la impresión;3,00%;3,90%;4,80%;;;;;;;
2;182000;Reproducción de grabaciones;1,50%;1,50%;1,50%;;;;;;;
2;FABRICACIÓN DE COQUE Y PRODUCTOS DE LA REFINACIÓN DEL PETRÓLEO;Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;191000;Fabricación de productos de hornos de coque;1,50%;1,50%;1,50%;;;;;;;
2;192001;Fabricación de productos de la refinación del petróleo;1,50%;1,50%;1,50%;;;;;;;
2;192002;Refinación del petróleo -Ley Nacional N° 23966-;1,50%;1,50%;1,50%;;;;;;;
2;FABRICACIÓN DE SUSTANCIAS Y PRODUCTOS QUÍMICOS;Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;201110;Fabricación de gases industriales y medicinales comprimidos o licuados;1,50%;1,50%;1,50%;;;;;;;
2;201120;Fabricación de curtientes naturales y sintéticos;1,50%;1,50%;1,50%;;;;;;;
2;201130;Fabricación de materias colorantes básicas, excepto pigmentos preparados;1,50%;1,50%;1,50%;;;;;;;
2;201140;Fabricación de combustible nuclear, sustancias y materiales radiactivos;1,50%;1,50%;1,50%;;;;;;;
2;201180;Fabricación de materias químicas inorgánicas básicas n.c.p.;1,50%;1,50%;1,50%;;;;;;;
2;201191;Producción e industrialización de metanol;1,50%;1,50%;1,50%;;;;;;;
